City,Country,Remote Jobs,Unemployment,Covid Impact,Healthcare,"Happiness, Culture & Leisure",Air Quality,Wellness and Fitness,TOTAL SCORE
Albuquerque,USA,35.72%,93.1,73.3,84.6,78.2,96.4,58.8,79.91
El Paso,USA,34.83%,93.3,72.5,85.1,77.7,95.3,56.2,79.9
Houston,USA,37.33%,92.8,73.9,87.5,81,97,57.2,79.89
Seoul,South Korea,37.00%,95.6,85.7,97.2,63.1,71.7,72.3,79.71
Las Vegas,USA,30.41%,92.1,78.2,82.4,84.7,95.6,57.4,79.47
New Orleans,USA,41.57%,93.8,69.4,83.7,76.7,98.6,56.9,79.11
St. Louis,USA,37.59%,95.1,79.6,90.7,75.7,81.7,57.9,77.15
Memphis,USA,31.81%,93.5,77,77.7,79.2,97,57.7,77.12
Hong Kong,Hong Kong,40.27%,95.8,78.6,78.1,56.4,81.8,81.1,77.11
Montevideo,Uruguay,27.29%,87.4,69,74.4,50,98.5,62.3,74.59
Buenos Aires,Argentina,28.39%,86.3,63.6,65.2,74.3,95.6,60.6,73.15
Bangkok,Thailand,16.84%,99.2,85.2,75.7,65.8,84,65.4,70.73
Sao Paulo,Brazil,25.65%,79.6,61.9,62.5,75.8,88,61.9,66.57
Kuala Lumpur,Malaysia,30.70%,94.9,78.1,66.7,59.5,84.8,59.7,66.02
Dubai,UAE,28.89%,100,100,69.4,79.2,50,58.6,61.23
Cape Town,South Africa,26.06%,50,50,50,59.6,94.5,50,50
